t,w,z
0.032,208.00784209510908,0.002994906114798905
0.064,215.80894700143566,0.0053922354998971675
0.096,223.2019148313974,0.007310056426501333
0.128,229.9958825075544,0.008844281600124074
0.16,236.01545124439534,0.010071640024291267
0.192,241.1052147909531,0.011053513403228809
0.224,245.13377152932796,0.011839005901192677
0.256,247.99711684940758,0.01246739989031116
0.28800000000000003,249.62132821938428,0.012970120500884419
0.32,249.96447363202947,0.013372307223245618
0.352,249.01769415667098,0.01369407115854769
0.384,246.80543264880075,0.013951500794831704
0.41600000000000004,243.3848027127527,0.014157466608233176
0.448,238.8441142088419,0.014322264728228779
0.48,233.30059337171258,0.014454131857259368
0.512,226.89735639923856,0.014559657196369181
0.544,219.79971464435047,0.014644111977669988
0.5760000000000001,212.19090679806692,0.014711713083874827
0.608,204.26736824528237,0.014765833938775027
0.64,196.23365972360335,0.014809173215501997
0.672,188.2971862112431,0.014843889799840812
0.704,180.66284238560712,0.014871710758244531
0.736,173.52772288991716,0.01489401771013642
0.768,167.0760339720795,0.014911915924064403
0.8,161.47433786121053,0.014926289593274803
0.8320000000000001,156.86725265699562,0.014937846055091481
0.864,153.37371874715575,0.014947151165555308
0.896,151.08392814232982,0.014954657598444674
0.928,150.05699600324658,0.014960727483939066
0.96,150.3194344739996,0.014965650519107662
0.992,151.86446822222996,0.014969658455946413
1.024,154.65220935680682,0.014972936691524684
1.056,158.6106872071836,0.014975633539876134
1.088,163.63770637878022,0.014977867649330288
1.12,169.60348511526973,0.014979733936232916
1.1520000000000001,176.3540058535894,0.014981308331806383
1.184,183.71499147092837,0.01498265157954523
1.216,191.49640456955552,0.01498381227305843
1.248,199.49735364216343,0.014984829286283858
1.28,207.51127945603787,0.014985733717612389
1.312,215.3312877599941,0.014986550445149205
1.344,222.7554906404327,0.014987299370892439
1.3760000000000001,229.59221862957148,0.014987996416051806
1.408,235.6649690056836,0.014988654317284042
1.44,240.8169625358592,0.014989283263665722
1.472,244.9151910205852,0.014989891406259058
1.504,247.85385114532855,0.014990485265754581
1.536,249.55707598791952,0.014991070058577333
1.568,249.9808936628439,0.014991649957765443
1.6,249.11436253643444,0.014992228301667887
1.6320000000000001,246.97985370529102,0.014992807760898634
1.6640000000000001,243.63247344522938,0.014993390471896685
1.696,239.15864054130202,0.014993978143771507
1.728,233.67385522773625,0.01499457214377728
1.76,227.31971733671344,0.01499517356569064
1.792,220.26027063796892,0.014995783284511533
1.824,212.67776774681704,0.014996402000222816
1.856,204.76796493729944,0.014997030272797102
1.8880000000000001,196.73506833351823,0.015111158377691404
1.92,188.78646195253094,0.01569211448386572
1.952,181.12735370408748,0.01709926655804005
1.984,173.9554775705838,0.0196980223646944
2.016,167.45598874021258,0.023859829466068763
2.048,161.79668348484776,0.029962175222163146
2.08,157.1236671903174,0.03838858679073755
2.112,153.55758237684006,0.04952863112731197
2.144,151.19049409022236,0.06377791498516641
2.176,150.08351307317918,0.08153808491534088
2.208,150.2652180789852,0.10321682726663536
2.24,151.73091805833633,0.12922786818560986
2.2720000000000002,154.44277326742503,0.15999097361658438
2.3040000000000003,158.33077217060244,0.1959319493016389
2.336,163.29453891708553,0.23748264078061343
2.368,169.20592472837052,0.28508093339110796
2.4,175.91231629491418,0.3391707522684825
2.432,183.2405757697316,0.40020206234585703
2.464,191.00151064072045,0.4686308683541116
2.496,198.99475808372705,0.5449192148218861
2.528,207.01395769778662,0.6295351860755807
2.56,214.85207907885177,0.7229529062393552
2.592,222.3067666908853,0.8256525392351296
2.624,229.18556404662644,0.9381202887825841
2.656,235.31088232618586,1.0608483983991586
2.688,240.52458515943113,1.194335151400053
