t,w,z
2.72,244.69207120756317,1.3390848708982275
2.7520000000000002,247.70574914452342,1.4956079198044019
2.7840000000000003,249.48781532518706,1.6644207008270562
2.816,249.99226242972443,1.8460456564724304
2.848,249.2060672272773,2.0410112690445246
2.88,247.14952679464324,2.249852060645099
2.912,243.87573450986486,2.473108593173673
2.944,239.46920934891273,2.7113274683275272
2.976,234.04371387269344,2.9650613276017013
3.008,227.73931723706488,3.2348688522889955
3.04,220.71877904966425,3.5213147634799693
3.072,213.16334743094205,3.8249698220629433
3.104,205.26807976019495,4.146410828723997
3.136,197.2368069101537,4.486220623946971
3.168,189.27687097768305,4.844988088013465
3.2,181.59377236576606,5.223308141002838
3.232,174.38586441220596,5.621781742792211
3.2640000000000002,167.83923253297672,6.041015893056464
3.2960000000000003,162.12289008456452,6.481623631268238
3.3280000000000003,157.3844149729604,6.94422403669793
3.36,153.7461396582771,7.429442228413703
3.392,151.30199291703653,7.937909365281476
3.424,150.1150748978499,8.470262645964928
3.456,150.2160280748928,9.027145308925501
3.488,151.60224615601155,9.609206632422394
3.52,154.23794136895413,10.217101934512566
3.552,158.05506838860802,10.851492573050738
3.584,162.95508105236206,11.51304594568939
3.616,168.81147651075048,12.202435489878761
3.648,175.47306113144563,12.920340682866852
3.68,182.76785384127413,13.667447041699424
3.712,190.5075261342953,14.444446123219995
3.744,198.49226411895714,15.252035524069846
3.7760000000000002,206.5159270816307,16.09091888068802
3.8080000000000003,214.3713693887058,16.96180586931131
3.84,221.85578833254664,17.86541220597428
3.872,228.77595985681654,18.802459646509252
3.904,234.95322699128204,19.7736759865463
3.936,240.22811221046615,20.779795061513273
3.968,244.46443463961984,21.821556746635764
4.0,247.55282581475768,22.899706956937134
4.032,249.41355323093944,24.014997647238502
4.064,249.99857878369914,25.16818681215875
4.096,249.29279896116594,26.36003848611452
4.128,247.31443476903362,27.59132274332021
4.16,244.1145613217477,28.862815697787976
4.192,239.77578924437978,30.175299503327743
4.224,234.41013192722778,31.529562353547192
4.256,228.15611369389137,32.92639848185176
4.288,221.175193540789,34.36660816144465
4.32,213.64759677586616,35.85099770532682
4.352,205.76766217041532,37.380379466296986
4.384,197.73882474585326,38.955571836951634
4.416,189.76836372405177,40.577399249685
4.448,182.06205123255495,42.24669217668909
4.48,174.8188399182119,43.964287129953654
4.5120000000000005,168.2257266182604,45.73102666126622
4.5440000000000005,162.45292469265038,47.54775936221206
4.5760000000000005,157.64946965273737,49.41533986417423
4.6080000000000005,153.939371535133,51.334628838333515
4.64,151.41841335426633,53.30649299566848
4.672,150.1516782874977,55.33180508695544
4.704,150.1718694330559,57.41144390276848
4.736,151.47846551933966,59.54629427347945
4.768,154.0377343625042,61.73724706925793
4.8,157.7836037248992,63.9851992000713
4.832,162.61936709154458,66.29105361568466
4.864,168.42018032688375,68.65571930566091
4.896,175.03628475602244,71.08011129936067
4.928,182.29687346067644,73.56515066594235
4.96,190.0145009742795,76.11176451436212
4.992,197.98992253185222,78.72088599337388
5.024,206.01723794048561,81.39345429152932
5.056,213.8892072719514,84.13041463717789
5.088,221.40260114304755,86.93271829846678
5.12,228.36344745633784,89.80132258334095
5.152,234.59203914701445,92.7371908395431
5.184,239.92757365167625,95.74129245461374
5.216,244.23230432259408,98.81460285589111
5.248,247.3950966110591,101.9581035105112
5.28,249.3342972103934,105.17278192540776
5.312,249.9998420864127,108.45963164731232
5.344,249.37454897265337,111.81965226275416
5.376,247.47456096221944,115.25384939806032
5.408,244.3489297441093,118.76323471935561
5.44,240.07834924354384,122.34882593256258
5.472,234.77307235970235,126.01164678340155
5.5040000000000004,228.57006458411826,129.7527270573906
5.5360000000000005,221.62946798431605,133.57310257984554
5.5680000000000005,214.13046684146343,137.47381521588002
5.6000000000000005,206.26666167821506,141.45591287040537
5.632,198.2410711047383,145.52044948813074
5.664,190.26089051946477,149.668485053563
5.696,182.53214297836683,153.90108559100676
5.728,175.25436033040936,158.21932316456443
5.76,168.615431935465,162.6242758781362
5.792,162.78675395452154,167.11486562782187
5.824,157.9188044421893,171.69002034951907
5.856,154.1372584786412,176.34867401892316
5.888,151.5397436360085,181.08976665152724
5.92,150.19331954284138,185.9122443026222
5.952,150.13274661631897,190.8150590672967
5.984,151.35958865807436,195.7971690804371
6.016,153.84217248177583,200.85753851672757
